time,pv,cv,sp,kp,ki,kd
68650,9.93,47.99,10.00,45.00,9.91,51.08
69156,9.81,93.87,10.00,45.00,9.91,51.08
69657,9.68,100.00,10.00,45.00,9.91,51.08
70163,9.65,69.76,10.00,45.00,9.91,51.08
70669,9.54,56.71,10.00,45.00,9.91,51.08
71175,9.45,100.00,10.00,45.00,9.91,51.08
71676,9.44,61.32,10.00,45.00,9.91,51.08
72182,9.54,78.91,10.00,45.00,9.91,51.08
72689,9.65,83.35,10.00,45.00,9.91,51.08
73194,9.81,77.78,10.00,45.00,9.91,51.08
73698,9.99,27.89,10.00,45.00,9.91,51.08
74204,10.13,53.50,10.00,45.00,9.91,51.08
74710,10.20,62.77,10.00,45.00,9.91,51.08
75216,10.27,57.75,10.00,45.00,9.91,51.08
75718,10.36,44.43,10.00,45.00,9.91,51.08
76224,10.41,35.09,10.00,45.00,9.91,51.08
76730,10.38,50.28,10.00,45.00,9.91,51.08
77236,10.35,41.70,10.00,45.00,9.91,51.08
77737,10.27,62.90,10.00,45.00,9.91,51.08
78243,10.18,78.80,10.00,45.00,9.91,51.08
78750,10.11,37.60,10.00,45.00,9.91,51.08
79256,10.03,61.61,10.00,45.00,9.91,51.08
79760,9.94,48.14,10.00,45.00,9.91,51.08
80266,9.86,55.57,10.00,45.00,9.91,51.08
80772,9.75,92.89,10.00,45.00,9.91,51.08
81278,9.69,73.62,10.00,45.00,9.91,51.08
81779,9.70,71.17,10.00,45.00,9.91,51.08
82285,9.75,48.88,10.00,45.00,9.91,51.08
82792,9.81,44.96,10.00,45.00,9.91,51.08
83298,9.90,59.61,10.00,45.00,9.91,51.08
83799,9.95,68.10,10.00,45.00,9.91,51.08
84305,9.98,62.77,10.00,45.00,9.91,51.08
84811,10.04,72.86,10.00,45.00,9.91,51.08
85317,10.12,45.42,10.00,45.00,9.91,51.08
85819,10.13,53.42,10.00,45.00,9.91,51.08
86327,10.13,43.39,10.00,45.00,9.91,51.08
86833,10.15,51.45,10.00,45.00,9.91,51.08
87339,10.13,50.07,10.00,45.00,9.91,51.08
87840,10.17,51.54,10.00,45.00,9.91,51.08
88346,10.19,43.45,10.00,45.00,9.91,51.08
88852,10.16,40.92,10.00,45.00,9.91,51.08
89358,10.15,40.37,10.00,45.00,9.91,51.08
89860,10.11,60.66,10.00,45.00,9.91,51.08
90366,10.12,43.98,10.00,45.00,9.91,51.08
90872,10.07,58.91,10.00,45.00,9.91,51.08
91378,10.04,65.62,10.00,45.00,9.91,51.08
91880,9.96,63.87,10.00,45.00,9.91,51.08
92388,9.91,53.95,10.00,45.00,9.91,51.08
92894,9.92,52.09,10.00,45.00,9.91,51.08
93400,9.94,43.23,10.00,45.00,9.91,51.08
93902,9.95,57.23,10.00,45.00,9.91,51.08
94408,9.98,53.30,10.00,45.00,9.91,51.08
94914,9.99,54.79,10.00,45.00,9.91,51.08
95420,10.02,65.36,10.00,45.00,9.91,51.08
95922,10.03,65.27,10.00,45.00,9.91,51.08
96428,10.02,37.38,10.00,45.00,9.91,51.08
96934,10.02,48.64,10.00,45.00,9.91,51.08
97440,10.00,57.03,10.00,45.00,9.91,51.08
97942,10.01,64.40,10.00,45.00,9.91,51.08
98450,10.03,49.99,10.00,45.00,9.91,51.08
98956,10.04,44.51,10.00,45.00,9.91,51.08
99462,10.02,55.26,10.00,45.00,9.91,51.08
99964,10.02,56.05,10.00,45.00,9.91,51.08
100470,10.02,58.32,10.00,45.00,9.91,51.08
100976,9.99,47.63,10.00,45.00,9.91,51.08
101482,9.99,53.90,10.00,45.00,9.91,51.08
101983,9.98,52.28,10.00,45.00,9.91,51.08
102489,9.97,53.15,10.00,45.00,9.91,51.08
102995,9.96,56.00,10.00,45.00,9.91,51.08
103501,9.98,50.09,10.00,45.00,9.91,51.08
104003,9.98,53.11,10.00,45.00,9.91,51.08
104511,9.98,49.84,10.00,45.00,9.91,51.08
105017,9.97,44.91,10.00,45.00,9.91,51.08
105523,9.97,67.49,10.00,45.00,9.91,51.08
106025,9.98,50.71,10.00,45.00,9.91,51.08
106531,9.99,58.32,10.00,45.00,9.91,51.08
107037,9.97,53.84,10.00,45.00,9.91,51.08
107544,9.96,59.75,10.00,45.00,9.91,51.08
108045,9.95,57.79,10.00,45.00,9.91,51.08
108551,9.96,46.64,10.00,45.00,9.91,51.08
109058,9.97,49.50,10.00,45.00,9.91,51.08
109564,9.98,56.39,10.00,45.00,9.91,51.08
110065,10.02,52.76,10.00,45.00,9.91,51.08
110573,10.04,49.02,10.00,45.00,9.91,51.08
111079,10.03,70.33,10.00,45.00,9.91,51.08
111585,10.03,56.88,10.00,45.00,9.91,51.08
112086,10.03,59.82,10.00,45.00,9.91,51.08
112592,10.03,51.45,10.00,45.00,9.91,51.08
113098,10.03,51.08,10.00,45.00,9.91,51.08
113604,10.01,51.44,10.00,45.00,9.91,51.08
114105,10.02,43.41,10.00,45.00,9.91,51.08
114611,10.00,51.84,10.00,45.00,9.91,51.08
115117,10.00,46.75,10.00,45.00,9.91,51.08
115623,10.00,53.03,10.00,45.00,9.91,51.08
116124,9.96,65.18,10.00,45.00,9.91,51.08
116630,9.98,45.28,10.00,45.00,9.91,51.08
117137,9.99,54.37,10.00,45.00,9.91,51.08
117645,9.97,46.06,10.00,45.00,9.91,51.08
118147,9.98,56.83,10.00,45.00,9.91,51.08
118654,9.99,59.87,10.00,45.00,9.91,51.08
119162,9.99,48.16,10.00,45.00,9.91,51.08
119669,9.99,67.28,10.00,45.00,9.91,51.08
120172,10.00,53.81,10.00,45.00,9.91,51.08
120679,9.99,58.91,10.00,45.00,9.91,51.08
121187,10.03,55.52,10.00,45.00,9.91,51.08
121694,10.04,57.33,10.00,45.00,9.91,51.08
122197,10.04,48.20,10.00,45.00,9.91,51.08
122697,10.01,42.97,10.00,45.00,9.91,51.08
123206,10.03,53.92,10.00,45.00,9.91,51.08
123713,10.00,54.82,10.00,45.00,9.91,51.08
124216,10.01,57.66,10.00,45.00,9.91,51.08
124723,10.02,62.69,10.00,45.00,9.91,51.08
125231,10.01,57.27,10.00,45.00,9.91,51.08
125739,10.02,51.93,10.00,45.00,9.91,51.08
126241,10.02,51.68,10.00,45.00,9.91,51.08
126748,10.01,44.84,10.00,45.00,9.91,51.08
127256,10.02,43.30,10.00,45.00,9.91,51.08
127763,9.99,68.63,10.00,45.00,9.91,51.08
128266,9.99,58.02,10.00,45.00,9.91,51.08
128766,9.98,54.89,10.00,45.00,9.91,51.08
129274,10.00,52.98,10.00,45.00,9.91,51.08
129781,9.99,58.33,10.00,45.00,9.91,51.08
130284,9.99,66.59,10.00,45.00,9.91,51.08
130792,10.00,47.33,10.00,45.00,9.91,51.08
131299,10.00,57.70,10.00,45.00,9.91,51.08
131807,10.01,52.40,10.00,45.00,9.91,51.08
132309,9.99,55.79,10.00,45.00,9.91,51.08
132816,10.00,55.35,10.00,45.00,9.91,51.08
133324,10.02,65.71,10.00,45.00,9.91,51.08
133831,10.01,46.79,10.00,45.00,9.91,51.08
134334,9.99,57.40,10.00,45.00,9.91,51.08
134834,10.00,49.68,10.00,45.00,9.91,51.08
135342,10.03,45.27,10.00,45.00,9.91,51.08
135849,10.02,51.19,10.00,45.00,9.91,51.08
136352,10.02,58.76,10.00,45.00,9.91,51.08
136859,10.01,48.54,10.00,45.00,9.91,51.08
137367,9.98,51.69,10.00,45.00,9.91,51.08
137874,9.98,49.82,10.00,45.00,9.91,51.08
138378,9.98,50.93,10.00,45.00,9.91,51.08
138885,9.98,62.22,10.00,45.00,9.91,51.08
139393,9.98,45.51,10.00,45.00,9.91,51.08
139900,9.97,65.21,10.00,45.00,9.91,51.08
140403,9.97,62.02,10.00,45.00,9.91,51.08
140903,9.98,56.27,10.00,45.00,9.91,51.08
141411,10.01,58.20,10.00,45.00,9.91,51.08
141918,10.03,60.36,10.00,45.00,9.91,51.08
142421,10.02,52.35,10.00,45.00,9.91,51.08
142928,10.01,57.66,10.00,45.00,9.91,51.08
143436,10.02,46.51,10.00,45.00,9.91,51.08
143943,10.00,46.98,10.00,45.00,9.91,51.08
144446,9.99,66.04,10.00,45.00,9.91,51.08
144953,9.98,50.59,10.00,45.00,9.91,51.08
145461,9.98,39.07,10.00,45.00,9.91,51.08
145969,9.99,53.14,10.00,45.00,9.91,51.08
146471,9.99,47.86,10.00,45.00,9.91,51.08
146978,9.99,41.63,10.00,45.00,9.91,51.08
147479,9.99,47.90,10.00,45.00,9.91,51.08
147986,10.00,55.64,10.00,45.00,9.91,51.08
148489,9.99,59.07,10.00,45.00,9.91,51.08
148997,9.99,50.42,10.00,45.00,9.91,51.08
149504,10.00,50.41,10.00,45.00,9.91,51.08
150012,10.01,40.96,10.00,45.00,9.91,51.08
150514,10.01,52.01,10.00,45.00,9.91,51.08
151022,10.02,62.77,10.00,45.00,9.91,51.08
151529,10.01,54.71,10.00,45.00,9.91,51.08
152036,10.02,46.19,10.00,45.00,9.91,51.08
152539,10.01,66.42,10.00,45.00,9.91,51.08
153047,10.02,52.43,10.00,45.00,9.91,51.08
153548,10.03,46.09,10.00,45.00,9.91,51.08
154055,10.01,45.03,10.00,45.00,9.91,51.08
154558,10.02,54.30,10.00,45.00,9.91,51.08
155066,10.03,60.72,10.00,45.00,9.91,51.08
155573,10.00,54.90,10.00,45.00,9.91,51.08
156080,10.01,54.86,10.00,45.00,9.91,51.08
156583,9.99,55.59,10.00,45.00,9.91,51.08
157090,9.99,43.35,10.00,45.00,9.91,51.08
157598,10.00,47.19,10.00,45.00,9.91,51.08
158106,9.98,33.51,10.00,45.00,9.91,51.08
158608,9.98,53.41,10.00,45.00,9.91,51.08
159115,9.98,48.22,10.00,45.00,9.91,51.08
159616,9.97,56.30,10.00,45.00,9.91,51.08
160123,9.97,45.03,10.00,45.00,9.91,51.08
160626,10.01,53.33,10.00,45.00,9.91,51.08
161133,9.99,61.07,10.00,45.00,9.91,51.08
161641,9.99,59.17,10.00,45.00,9.91,51.08
162148,10.02,52.95,10.00,45.00,9.91,51.08
162651,10.03,51.96,10.00,45.00,9.91,51.08
163158,10.02,48.74,10.00,45.00,9.91,51.08
163666,10.02,54.17,10.00,45.00,9.91,51.08
164173,10.02,34.28,10.00,45.00,9.91,51.08
164676,10.03,59.51,10.00,45.00,9.91,51.08
165183,10.02,48.54,10.00,45.00,9.91,51.08
165690,10.05,44.29,10.00,45.00,9.91,51.08
166197,10.01,50.64,10.00,45.00,9.91,51.08
166699,10.02,54.41,10.00,45.00,9.91,51.08
167206,10.00,60.18,10.00,45.00,9.91,51.08
167714,10.00,41.38,10.00,45.00,9.91,51.08
