time,pv,cv,sp,kp,ki,kd
127,10.255,57.23293,10,45,9.91,51.08
128,10.359,44.21355,10,45,9.91,51.08
129,10.411,25.47839,10,45,9.91,51.08
130,10.3746,62.14931,10,45,9.91,51.08
131,10.2706,64.10906,10,45,9.91,51.08
132,10.203,66.23595,10,45,9.91,51.08
133,10.1146,77.34565,10,45,9.91,51.08
134,10.0314,50.01902,10,45,9.91,51.08
135,9.927402,72.09419,10,45,9.91,51.08
136,9.865002,65.06236,10,45,9.91,51.08
137,9.766201,62.0561,10,45,9.91,51.08
138,9.698601,79.07187,10,45,9.91,51.08
139,9.662201,53.35942,10,45,9.91,51.08
140,9.719402,66.93015,10,45,9.91,51.08
141,9.8078,52.06567,10,45,9.91,51.08
142,9.9118,37.02431,10,45,9.91,51.08
143,9.969002,44.84336,10,45,9.91,51.08
144,10.047,30.96157,10,45,9.91,51.08
145,10.0626,54.152,10,45,9.91,51.08
146,10.0938,59.79289,10,45,9.91,51.08
147,10.1666,48.05143,10,45,9.91,51.08
148,10.2082,37.60905,10,45,9.91,51.08
149,10.2082,52.28141,10,45,9.91,51.08
150,10.2654,39.38104,10,45,9.91,51.08
151,10.229,48.5427,10,45,9.91,51.08
152,10.1926,40.15666,10,45,9.91,51.08
153,10.1562,48.21828,10,45,9.91,51.08
154,10.0782,37.26357,10,45,9.91,51.08
155,10.0106,50.11218,10,45,9.91,51.08
156,9.9482,73.81337,10,45,9.91,51.08
157,9.917,43.74596,10,45,9.91,51.08
158,9.890999,50.77911,10,45,9.91,51.08
159,9.922199,58.31957,10,45,9.91,51.08
160,9.922199,55.71691,10,45,9.91,51.08
161,9.9118,70.62996,10,45,9.91,51.08
162,9.943001,49.77317,10,45,9.91,51.08
163,9.9846,37.17651,10,45,9.91,51.08
164,9.979401,62.13275,10,45,9.91,51.08
165,10.0054,44.85385,10,45,9.91,51.08
166,10.0002,49.78657,10,45,9.91,51.08
167,10.0314,49.97715,10,45,9.91,51.08
168,10.0314,57.36999,10,45,9.91,51.08
169,10.0002,57.96263,10,45,9.91,51.08
170,10.0262,62.97526,10,45,9.91,51.08
171,10.0366,52.24315,10,45,9.91,51.08
172,10.0158,62.99925,10,45,9.91,51.08
173,10.0262,43.36999,10,45,9.91,51.08
174,10.0106,60.13169,10,45,9.91,51.08
175,10.0522,52.78724,10,45,9.91,51.08
176,10.0366,44.81664,10,45,9.91,51.08
177,10.021,45.11837,10,45,9.91,51.08
178,10.047,57.70704,10,45,9.91,51.08
179,10.0158,56.0604,10,45,9.91,51.08
180,10.0262,42.14455,10,45,9.91,51.08
181,9.989799,51.25526,10,45,9.91,51.08
182,9.994999,62.057,10,45,9.91,51.08
183,9.974201,68.34863,10,45,9.91,51.08
184,10.0158,54.11959,10,45,9.91,51.08
185,9.979401,60.24193,10,45,9.91,51.08
186,10.0002,42.95554,10,45,9.91,51.08
187,10.0106,53.68961,10,45,9.91,51.08
188,10.0522,27.58484,10,45,9.91,51.08
189,10.0522,70.83686,10,45,9.91,51.08
190,10.0626,59.24706,10,45,9.91,51.08
191,10.0678,59.20735,10,45,9.91,51.08
192,10.047,64.99387,10,45,9.91,51.08
193,10.0314,45.98194,10,45,9.91,51.08
194,9.958599,61.62792,10,45,9.91,51.08
195,9.932602,69.76028,10,45,9.91,51.08
196,9.906601,60.34169,10,45,9.91,51.08
197,9.870201,73.6988,10,45,9.91,51.08
198,9.865002,55.05925,10,45,9.91,51.08
199,9.9118,54.07834,10,45,9.91,51.08
200,9.9534,52.56195,10,45,9.91,51.08
201,9.958599,57.61017,10,45,9.91,51.08
202,9.9846,54.17382,10,45,9.91,51.08
203,10.0054,56.13185,10,45,9.91,51.08
204,10.0106,41.61954,10,45,9.91,51.08
205,10.0106,63.48524,10,45,9.91,51.08
206,10.0314,54.68013,10,45,9.91,51.08
207,10.0418,50.34239,10,45,9.91,51.08
208,10.0366,56.5814,10,45,9.91,51.08
209,10.0678,36.03727,10,45,9.91,51.08
210,10.047,46.36546,10,45,9.91,51.08
211,10.0678,46.06558,10,45,9.91,51.08
212,10.0626,49.6435,10,45,9.91,51.08
213,10.0418,43.30663,10,45,9.91,51.08
214,10.0418,46.16841,10,45,9.91,51.08
215,10.0054,58.188,10,45,9.91,51.08
216,9.974201,68.40955,10,45,9.91,51.08
217,9.9482,66.61012,10,45,9.91,51.08
218,9.917,62.21803,10,45,9.91,51.08
219,9.9534,57.56342,10,45,9.91,51.08
220,9.963802,48.45239,10,45,9.91,51.08
221,9.958599,51.06903,10,45,9.91,51.08
222,9.979401,50.77041,10,45,9.91,51.08
223,10.0002,60.43272,10,45,9.91,51.08
224,9.989799,58.60969,10,45,9.91,51.08
225,9.969002,45.19135,10,45,9.91,51.08
226,10.0158,43.80254,10,45,9.91,51.08
227,10.0106,51.71246,10,45,9.91,51.08
228,10.0158,48.99908,10,45,9.91,51.08
229,10.0158,48.93613,10,45,9.91,51.08
