time,pv,cv,sp,kp
6887943,49.73,60.85,50.0,225.0
6888467,50.03,0.0,50.0,225.0
6888989,50.25,0.0,50.0,225.0
6889512,50.31,0.0,50.0,225.0
6890036,50.41,0.0,50.0,225.0
6890559,50.45,0.0,50.0,225.0
6891082,50.36,0.0,50.0,225.0
6891605,50.29,0.0,50.0,225.0
6892128,50.16,0.0,50.0,225.0
6892652,50.11,0.0,50.0,225.0
6893174,49.98,3.43,50.0,225.0
6893699,49.84,35.07,50.0,225.0
6894222,49.73,59.68,50.0,225.0
6894745,49.61,87.8,50.0,225.0
6895268,49.53,100.0,50.0,225.0
6895791,49.48,100.0,50.0,225.0
6896314,49.39,100.0,50.0,225.0
6896837,49.33,100.0,50.0,225.0
6897360,49.34,100.0,50.0,225.0
6897883,49.47,100.0,50.0,225.0
6898406,49.74,58.5,50.0,225.0
6898929,49.88,26.86,50.0,225.0
6899452,50.08,0.0,50.0,225.0
6899974,50.21,0.0,50.0,225.0
6900497,50.32,0.0,50.0,225.0
6901021,50.34,0.0,50.0,225.0
6901546,50.23,0.0,50.0,225.0
6902069,50.14,0.0,50.0,225.0
6902592,50.07,0.0,50.0,225.0
6903114,49.93,15.14,50.0,225.0
6903637,49.83,38.58,50.0,225.0
6904160,49.68,71.39,50.0,225.0
6904682,49.57,97.18,50.0,225.0
6905206,49.5,100.0,50.0,225.0
6905728,49.47,100.0,50.0,225.0
6906251,49.4,100.0,50.0,225.0
6906773,49.27,100.0,50.0,225.0
6907296,49.35,100.0,50.0,225.0
6907819,49.53,100.0,50.0,225.0
6908342,49.74,58.5,50.0,225.0
6908864,49.83,37.41,50.0,225.0
6909393,50.07,0.0,50.0,225.0
6909916,50.26,0.0,50.0,225.0
6910439,50.39,0.0,50.0,225.0
6910962,50.36,0.0,50.0,225.0
6911484,50.32,0.0,50.0,225.0
6912007,50.25,0.0,50.0,225.0
6912530,50.14,0.0,50.0,225.0
6913053,50.01,0.0,50.0,225.0
6913576,49.9,22.18,50.0,225.0
6914099,49.79,47.96,50.0,225.0
6914622,49.64,81.94,50.0,225.0
6915144,49.52,100.0,50.0,225.0
6915667,49.51,100.0,50.0,225.0
6916190,49.37,100.0,50.0,225.0
6916712,49.36,100.0,50.0,225.0
6917238,49.22,100.0,50.0,225.0
6917761,49.33,100.0,50.0,225.0
6918283,49.56,99.52,50.0,225.0
6918806,49.68,72.57,50.0,225.0
6919329,49.9,23.35,50.0,225.0
6919852,50.11,0.0,50.0,225.0
6920375,50.27,0.0,50.0,225.0
6920898,50.35,0.0,50.0,225.0
6921421,50.35,0.0,50.0,225.0
6921944,50.33,0.0,50.0,225.0
6922467,50.25,0.0,50.0,225.0
6922990,50.09,0.0,50.0,225.0
6923513,49.98,3.43,50.0,225.0
6924037,49.88,26.86,50.0,225.0
6924559,49.73,60.85,50.0,225.0
6925082,49.67,73.74,50.0,225.0
6925608,49.55,100.0,50.0,225.0
6926130,49.48,100.0,50.0,225.0
6926653,49.42,100.0,50.0,225.0
6927176,49.23,100.0,50.0,225.0
6927699,49.25,100.0,50.0,225.0
6928223,49.39,100.0,50.0,225.0
6928747,49.49,100.0,50.0,225.0
6929270,49.73,60.85,50.0,225.0
6929793,49.97,5.77,50.0,225.0
6930315,50.19,0.0,50.0,225.0
6930838,50.37,0.0,50.0,225.0
6931361,50.43,0.0,50.0,225.0
6931884,50.44,0.0,50.0,225.0
6932407,50.36,0.0,50.0,225.0
6932930,50.33,0.0,50.0,225.0
6933455,50.18,0.0,50.0,225.0
6933979,50.07,0.0,50.0,225.0
6934502,49.96,9.28,50.0,225.0
6935024,49.9,22.18,50.0,225.0
6935547,49.78,50.3,50.0,225.0
6936071,49.64,81.94,50.0,225.0
6936594,49.52,100.0,50.0,225.0
6937117,49.45,100.0,50.0,225.0
6937640,49.34,100.0,50.0,225.0
6938163,49.28,100.0,50.0,225.0
6938686,49.22,100.0,50.0,225.0
6939209,49.29,100.0,50.0,225.0
6939733,49.48,100.0,50.0,225.0
6940255,49.7,67.88,50.0,225.0
6940778,49.97,5.77,50.0,225.0
6941304,50.12,0.0,50.0,225.0
6941827,50.22,0.0,50.0,225.0
6942350,50.27,0.0,50.0,225.0
6942873,50.29,0.0,50.0,225.0
6943397,50.24,0.0,50.0,225.0
6943920,50.11,0.0,50.0,225.0
6944472,50.0,1.08,50.0,225.0
6944994,49.98,4.6,50.0,225.0
6945518,49.85,32.72,50.0,225.0
6946040,49.72,62.02,50.0,225.0
6946563,49.62,85.46,50.0,225.0
6947086,49.51,100.0,50.0,225.0
6947609,49.41,100.0,50.0,225.0
6948132,49.3,100.0,50.0,225.0
